Date,Narration,Ref/Cheque No.,Debit,Credit,Balance
9/22/2025,TO TRANSFER UPI/DR/ZOMATO ORDER 897654321@okhdfc,UPI-23456789231,420,,"49,580.00"
9/22/2025,TO TRANSFER UPI/DR/IMPS TO RAHUL VERMA,IMPS-78345692,"1,200.00",,"48,380.00"
9/23/2025,TO TRANSFER UPI/DR/AMAZON PURCHASE #884433,UPI-55677890932,"1,499.00",,"46,881.00"
9/23/2025,BY TRANSFER SALARY CREDIT FROM INFOSYS LTD,REF-43277654,,"75,000.00","1,21,881.00"
9/24/2025,TO TRANSFER UPI/DR/SWIGGY ORDER 556677@okaxis,UPI-66783452109,380,,"1,21,501.00"
9/24/2025,TO TRANSFER UPI/DR/ELECTRICITY BILL BSES DELHI,UPI-99088763124,"2,150.00",,"1,19,351.00"
9/25/2025,TO TRANSFER UPI/DR/UBER TRIP #443322,UPI-11234567654,260,,"1,19,091.00"
9/25/2025,TO TRANSFER UPI/DR/FLIPKART ONLINE ORDER,UPI-22876554321,"2,480.00",,"1,16,611.00"
9/26/2025,TO TRANSFER UPI/DR/DINEOUT PIZZA HUT PAYMENT,UPI-33245678123,675,,"1,15,936.00"
9/26/2025,TO TRANSFER UPI/DR/RENT PAYMENT TO LANDLORD,IMPS-22347865,"18,000.00",,"97,936.00"
9/27/2025,BY TRANSFER IMPS FROM NEHA SINGH,IMPS-99004321,,"3,000.00","1,00,936.00"
9/27/2025,TO TRANSFER UPI/DR/JIO MOBILE RECHARGE,UPI-45455671232,299,,"1,00,637.00"
9/28/2025,TO TRANSFER UPI/DR/STARBUCKS COFFEE UPI,UPI-12199887643,340,,"1,00,297.00"
9/28/2025,TO TRANSFER UPI/DR/UBER TRIP PAYMENT,UPI-90876123451,180,,"1,00,117.00"
9/29/2025,TO TRANSFER UPI/DR/AMAZON PRIME RENEWAL,UPI-77456711234,"1,499.00",,"98,618.00"
9/29/2025,TO TRANSFER UPI/DR/BIG BASKET ORDER #223344,UPI-66778122345,"1,220.00",,"97,398.00"
9/30/2025,TO TRANSFER UPI/DR/SPOTIFY SUBSCRIPTION,UPI-55566789122,119,,"97,279.00"
9/30/2025,BY TRANSFER CASHBACK CREDIT PAYTM,REF-99234567,,150,"97,429.00"
10/1/2025,TO TRANSFER UPI/DR/OLACABS PAYMENT,UPI-44007788993,290,,"97,139.00"
10/1/2025,TO TRANSFER UPI/DR/AMAZON FRESH GROCERIES,UPI-88345671220,980,,"96,159.00"
10/2/2025,TO TRANSFER UPI/DR/IMPS TO SNEHA VERMA,IMPS-22334488,"1,000.00",,"95,159.00"
10/2/2025,TO TRANSFER UPI/DR/RELIANCE GAS BILL PAYMENT,UPI-11887756321,850,,"94,309.00"
10/3/2025,TO TRANSFER UPI/DR/NETFLIX MONTHLY SUBSCRIPTION,UPI-66543278110,499,,"93,810.00"
10/3/2025,TO TRANSFER UPI/DR/SHOPPERS STOP PURCHASE,UPI-99220134567,"2,350.00",,"91,460.00"
10/4/2025,BY TRANSFER IMPS FROM PRIYA MEHTA,IMPS-55342219,,"2,000.00","93,460.00"
10/4/2025,TO TRANSFER UPI/DR/ZOMATO ORDER 776655@okicici,UPI-77665598211,415,,"93,045.00"
10/5/2025,TO TRANSFER UPI/DR/FUEL PAYMENT HP PETROL PUMP,UPI-55566677889,"1,480.00",,"91,565.00"
10/5/2025,TO TRANSFER UPI/DR/BIG BAZAAR GROCERIES,UPI-44882213457,"2,050.00",,"89,515.00"
